A
Chin, Ai-li	陈郁立
Chin, Tamara	秦大伦
Ching, Julia	秦家懿
Ching, Eugene	荆允敬
Chiou-Peng, Tzehuey	邱茲惠
Chittick, Andrew	戚安道
Chiu, Cathy	邱冬银
Chiu, Haiyuan	瞿海源
Chiu, Hungdah	丘宏达
Chiu, Julie	赵茱莉
Chiu, Kuei	邱葵
Chiu, Ling-yeong	赵令扬
Chiu, Sin Ming	赵善鸣
Chiu, Tzu-hsiu Beryl	邱子修
Chiu-Duke, Josephine	丘慧芬
Chiung, Wi-vun Taiffalo	蒋为文
Choo, Jessey J.C.	朱雋琪
Chou, Adam	周越
Chou, Chi-p’ing	周质平
Chou, Eva Shan	周杉
Chou, Hsun-hsin	周舜莘
Chou, Ju-shi	周汝式
Chou, Katherine Hui-Ling	周慧玲
Chou, Ping	周平（译音）
Chow, Eileen Cheng-yin	周成荫
Chow, Greory C.	邹至庄
 
Chow, Kai-wing	周启荣
Chow, Peter C.Y.	周鉅原
Chow, Rey	周蕾
Chow, Tse-tsung	周策纵
Choy, Howard Y. F.	蔡元丰
Christensen, Thomas	柯庆生
Chu, Chauncey	屈承熹
Chu, Hung-lam	朱鸿林
Chu, Pingyi	祝平一
Chu, Ron-guey	朱荣贵
Chu, Samuel C.	朱昌峻
Chu, Tung-tsu	瞿同祖
Chu, Yung-deh Richard	朱永德
Chung, Eva Yuen-wah	钟元华（音译）
Chung, Priscilla	秦家德
Clark, Anthony E.	柯学斌
Clark, Hugh R.	柯胡
Clark, John	姜苦乐
Clark, Paul	康浩
Clarke, Donald C.	郭丹青
Clart, Philip	柯若朴
Cleaves, Francis W.	柯立甫
Clough, Ralph Nelson	高立夫
Clunas, Craig	柯律格
Coblin, W. South	柯蔚南
Cochran, Sherman	高家龙
Cody, Jeffrey W.	郭杰伟
Cohen, Jerome A.	孔杰荣（又作柯恩）
 
Cohen, Mark A.	柯恒
Cohen, Paul	柯文
Cohen, Warren	孔华润
Cole, Alan	寇爱伦
Conceison, Claire A.	康开丽
Cong, Xiaoping	丛小平
Conner, Allison	康雅信
Conrady, August	孔好古
Constable, Nicole	郭思嘉
Cook, Constance A.	柯鹤立
Cook, Francis H.	曲克
Cook, James A.	柯慕贤
Cook, Scott	顾史考
Copp, Paul	柏刚
Copper, John F.	康培庄
Cordier, Henri	高迪爱（又作高第）
Couling, Samuel	库寿龄
Coulter, Todd	托德·科特尔
Courant, Maurice	古恒
Couvreur, Séraphin	顾赛芬
Covey, Roger E.	罗杰伟
Cranford, John M.	顾洛阜
Crawford, William	郭辅德
Creel, Herrlee G.	顾立雅
Cressey, George B.	葛德石
Creutzfeldt, Benjamin H.	田亚明
Crook, Isabel	伊莎白（又作饶素梅）
Crossley, Pamala K.	柯娇燕
 
Crowell, William G.	孔为廉
Crump, James I. Jr	柯润璞（又作柯迂儒）
Csikszentmihalyi, Mark A.	齐思敏
Cuadrado, Clara Y.	于漪
Cui, Jie	崔捷
Cui, Zhiyuan	崔之元
Cullen, Christopher	古克礼
Culp, Robert J.	高哲一
Cura, Nixi	黄巧巧
Cutter, Robert J.	高德耀

D
Da, Nan Z.	笪章难
Dai, Fang	戴舫
Dai, Weiqun	戴为群
Damm, Jens	严达思
Daniels, Christian	唐立
Dardess, John W.	达第斯
Dars, Jacques	谭霞客
Daruvala, Susan	苏文瑜
Dautcher, Jay	丁兆然
Davies, Gloria	黄乐嫣
Davis, Deborah	戴慧斯
Davis, Richard	戴仁柱
De Bary, William Theodore	狄百瑞（又作狄别瑞）
De Crespigny, Rafe	张磊夫
De Pee, Christian	裴志昂
De Rachewiltz, Igor	罗依果
 
De Weerdt, Hilde	魏希德
De Woskin, Kenneth	杜志豪
Dean, Kenneth	丁荷生
DeBernardi, Jean	白瑾
Deeney, John J.	李达三
DeFrancis, John	德范克
Delgado, Margarita	唐杉
deLisle, Jacques	戴杰
Demiéville, Paul	戴密微
Denecke, Wiebke	魏樸和
Deng, Yong	邓勇
Dennerline, Jerry	邓尔麟
Dennis, Joseph	戴思哲
Denton, Kirk	邓腾克
Des Forges, Roger V.	戴福士
Des Rotours, Robert	戴何都
Despeux, Catherine	戴思博
Diamond, Norma	戴玛瑙
Diamant, Neil	戴茂功
Di Cosmo, Nicola	狄宇宙
Dien, Albert E.	丁爱博
Dikötter, Frank	冯客
Dimberg, Ronald	丁博
Ding, Iza	丁悦
Ding, Naifei	丁乃非
Ding, Xueliang	丁学良
Dittmer, Lowell	罗德明
Dobson, W.A.C.H.	杜百胜
 
Doeringer, Franklin M.	窦瑞格
Dong, Xiaoyuan	董晓媛
Dong, Madeleine Yue	董玥
Doré, Henri	禄是遒
Drege, Jean-Pierre	戴仁
Dreyer, June T.	金德芳
Du, Nancy	杜南馨
Du, Shanshan	杜珊珊
Du, Wenwei	都文伟
Duanmu, San	端木三
Duara, Prasenjit	杜赞奇
Dube, Clayton	杜克雷
DuBois, Thomas	杜博思
Dubs, Homer H.	德效骞
Duckett, Jane	杜珍
Dudbridge, Glen	杜德桥
Dull, Jack L.	杜敬轲
Dunch, Ryan	唐日安
Dunnell, Ruth W.	邓如萍
Dunstan, Helen	邓海伦
Durant, Stephen W.	杜润德
Duyvendak, J. J. L.	戴闻达


E
Eastman, Lloyd E.	易劳逸
Eberhard, Wolfram	艾伯华
Ebrey, Patricia B.	伊佩霞
Economy, Elizabeth	易明
 
Edgren, Sören	艾思仁
Edin, Maria	金山爱
Edkins, Joseph	艾约瑟
Edwards, Louise P.	李木兰
Edwards, R. Randle	艾德华（又作爱德华、爱德华兹）
Edwards, Richard	艾瑞慈
Efird, Robert	易若鹏
Egami, Namio	江上波夫
Egan, Charles	易彻理
Egan, Ronald	艾朗诺
Egan, Susan Chan	陈毓贤
Eggert, Marion	梅绮雯
Eggleston, Karen	翁笙和
Eide, Elling O.	艾龙
Eisenberg, Andrew	艾安迪
Eisenman, Joshua.	马佳士
Elisseeff, Serge	叶理绥
Elliot, Mark	欧立德
Elliott, John B.	艾略特（又作艾理略）
Ellsworth, Robert H.	安思远
Elman, Benjamin A.	艾尔曼
Elvin, Mark	伊懋可
Engelfriet, Peter M.	安国风
Engelhardt, Ute	英悟德
Entenmann, Robert	鄢华阳
Entwisle, Barbara	安微愫
Eoyang, Eugene Chen	欧阳桢
Epstein, Maram	艾梅兰
 
Erbaugh, Mary	艾玛丽
Erkes, Eduard	何可思
Erwin, Kathleen	区嘉琳
Erickson, Andrew S.	艾立信
Esherick, Joseph	周锡瑞
Eskildsen, Stephen	苏德朴
Evans, Harriet	艾华

F
Fairbank, John King	费正清
Fairbank, Wilma Canon	费慰梅
Fan, Cindy C.	范芝芬
Fan, Fa-ti	范发迪
Fan, Shengyu	范圣宇
Fang, Achilles	方志彤
Fang, Chao-ying	房兆楹
Fang, Cheng-Hua	方震华
Fang, Frank S.	方绍伟
Fang, Kun	方堃
Farmer, Edward L.	范德
Farquhar, Judith B.	冯珠娣
Farrer, James	刘雅格
Faure, Bernard	佛雷
Faure, David	科大卫
Faurot, Jeannette L.	傅静宜
Fei, Faye Chunfang	费春放
Feinerman, James V.	费能文
 
Feng, Guozhong	冯国忠
Feng, Huiyun	冯惠云
Feng, Shengli	冯胜利
Ferchen, Matt	陈懋修
Ferguson, Daniel Lee	傅謌森
Ferguson, Francesca	白卓诗
Fernsebner, Susan	冯素珊
Ferrari, Rossella	费莱丽
Feuchtwang, Stephan	王斯福
Feuerwerker, Albert	费维恺
Feuerwerker, Yi-tsi Mei	梅仪慈
Fewsmith, Joseph	傅士卓
Field, Stephen	田笠
Fingar, Thomas	冯稼时
Finkelstein, David	冯德威
Finnane, Antonia	安东篱
Fischer, Paul	方破
Fitzgerald, C. P.	费子智
Fitzgerald, John	费约翰
Fitzgerald-Huber, Louisa G.	胡博
Fix, Douglas L.	费德廉
Flad, Rowan K.	傅罗文
Fletcher, Joseph	傅礼初 （又作弗雷泽）
Fock, Achim	傅安恒
Fogel, Josh	傅佛果
Fong, Grace S.	方秀洁
Fong, H. D.	方显廷
Fong, Wen C.	方闻
 
Forke, Alfred	佛尔克
Forte, Antonino	富安敦
Foster, Lawrence C.	付思德
Franke, Herbert	傅海波
Franke, Otto	福兰阁
Franke, Wolfgang	傅吾康
Frankel, Hans H.	傅汉思
Frangville, Vanessa	方文莎
Fraser, Davis	傅睿哲
Fraser, Sarah E.	胡素馨
Fravel, Taylor	傅泰林
Freeman, Carla P.	傅瑞珍
Ferguson, John Calvin	福开森
Fryer, John	傅兰雅
Fu, Liangyu	傅良瑜
Fu, Poshek	傅葆石
Fu, Shen	傅申
Fujita, Toyohachi	藤田丰八
Fuller, Dorian Q.	傅稻镰
Fuller, Michael	傅君劢
Fung, Edwin	冯兆基
Furniss, Ingrid	傅音鸽
Furth, Charlotte	费侠莉


G
Gaillard, Louis	方殿华
Gale, Esson McDowell	盖乐
Gallagher, Mary	高敏
 
Gao, Bai	高柏
Gao, Minglu	高名潞
Gao, Mobo	高默波
Gao, Qing	高青
Gardner, Daniel	贾德讷
Garver, John	高龙江
Gasster, Michael	高慕轲
Gates, Hill	葛希芝
Ge, Liangyan	葛良彦
Geiss, James	盖杰民
Gernet, Jacques	谢和耐
Gerritsen, Anne	何安娜
Gerth, Karl	葛凯
Getz, Daniel A.	高泽民
Gibbs, Donald A.	季博思
Gilbert, Rodney Yonkers	甘露德
Giles, Herbert A.	翟理斯
Giele, Enno	纪安诺
Giersch, C. Patterson	纪若诚
Gill, Bates	季北慈
Gillette, Maris B.	马丽思
Gilmartin, Christina	柯临清
Gimello, Robert	詹密罗
Givens, John Wagner	葛明威

Gladney, Dru	杜磊
Glaser, Bonnie	葛莱仪
Goh, Meow Hui	吴妙慧
 
Golas, Peter J.	葛平德
Goldschmidt, Asaf	郭志松
Goldstein, Steven M.	戈迪温
Goh, Meow Hui	吴妙慧
Gold, Thomas B.	高棣民
Goldblatt, Howard	葛浩文
Goldin, Paul R.	金鹏程
Goldman, Andrea	郭安瑞
Goldstein, Avery	金骏远
Golley, Jane	葛丽珍
Gómez, Luis O.	葛美兹
Goodman, Bryna	顾德曼
Goodman, David S.G.	古德曼
Goodman, Howard L.	顾浩华
Goodrich, Luther C.	富路特（又作傅路德、富路德）
Goossaert, Vincent	高万桑
Gordon, Leonard H.D.	高理宁
Gotshalk, Richard	高厦克
Graff, David	葛德威
Graffin, Graham, Angus C.	葛瑞汉
Graham, David C.	葛维汉
Granet, Marcel	葛兰言
Grano, Simona	高喜明
Grant, Beata	管佩达
Grieder, Jerome B.	贾祖麟
Gries, Peter Hays	葛小伟
Grimm, Tilemann	葛林
Groot, Jan Jakob Maria	高延
 
Grousset, René	格鲁塞
Grove, Linda	顾琳
Gruin, Julian	葛久凌
Gu, Ming Dong	顾明栋
Gu, Yang	顾阳
Guisso, R. W. L.	桂雨时
Guldin, Gregory E.	顾定国
Gulik, Robert Hans van	高罗佩
Gunn, Edward M.	耿德华
Guo, Jue	郭珏
Guo, Qitao	郭琦涛
Guthrie, Doug	顾道格
Guy, Nancy	盖南希
Guy, R. Kent	盖博坚


H
Haar, Barend ter	田海
Hail, William James	解威廉
Hall, David	郝大维
Haloun, Gustav	夏隆
Halperin, Mark	何复平
Hamashit, Takeshi	滨下武志
Hambis, Louis	韩百诗
Hamilton, Gary	韩格理
Hamrin, Carol	韩林
Han, Enze	韩恩泽
Han, Kuo-Huang	韩国鐄
Hanan, Patrick	韩南
 
Hand, Keith J.	韩凯思
Handel, Zev	韩哲夫
Handlin, Joanna（又作Joanna Smith Handlin）	韩德玲（又作韩德琳）
Han, Min	韩敏
Hannum, Emily	韩怡梅
Hansen, Valarie	韩森
Hansford, S. Howard	韩斯福
Hanson, Marta	韩嵩
Hao, Lingxin	郝令昕
Hao, Yufan	郝雨凡
Harbaugh, Rick	李克
Harbsmeier, Christoph	何莫邪
Harding, Harry	何汉理
Hardy, Grant	侯格睿
Hargett, James M.	何瞻
Harkness, Ethan	郝益森
Harper, Donald	夏德安
Harada, Yoshito	原田淑人
Harrell, Stevan	郝瑞
Harris, Rachel	何翠乔
Harrison, Henrietta	沈艾娣
Harrist, Robert	韩文彬
Hart, Roger	罗杰
Hartman, Charles	蔡涵墨
Hartwell, Robert M.	郝若贝
Hauf, Kandice	郝康笛
Hawes, Colin S. C.	柯霖
Hawkes, David	霍克思
 
Hay, John	韩庄
Hay, Jonathan	乔迅
Hayashi, Minao	林巳奈夫
Hayford, Charles W.	何復德
He, Baozhang	何宝璋
He, Jianye	何剑叶
He, Mingyu	何眀玉
He, Yuming	何予明
Hearn, Maxwell	何慕文
Heberer, Thomas（Wang Hai）	王海
Hegel, Robert	何谷理
Heginbotham, Eric	何理凯
Heijdra, Martin	何义壮
Heilmann, Merics	韩博天
Heinrich, Larissa	韩依薇
Henderson, Gail E	韩德森
Heng, C.K.	王才强
Heng, Derek	王添顺
Henley, Lonnie	韩力
Henricks, Robert G.	韩禄伯
Herbert, P. A.	何汉心
Herman, John E.	何汉德
Hershatter, Gail B.	贺萧
Hertz, Ellen	何爱莲
Hervouet, Yves	吴德明
Hevia, James L．	何伟亚
Higgins, Roland	罗兰
Hightower, James R.	海陶玮
 
Hiller, Walter Caine	禧在明
Hino, Kaisaburō	日野开三郎
Hinriches, T.J.	艾媞捷
Hinsch, Bret	韩献博
Hirth, Friedrich	夏德
Hill, Michael	韩嵩文
Ho, Denise Y.	何若书
Ho, Judy Chungwa	何重华
Ho, Ping-ti	何炳棣
Hoang, Pierre	黃伯祿
Hoffman, Lisa	霍丽深
Holcombe, Charles	何肯
Holzman, Donald	侯思孟
Hom, Marlon K.	谭雅伦
Hon, Tze-ki	韩子奇
Honey, David B.	韩大伟
Hong, Chin-fu	洪金富
Hong, Daisy	洪黛西
Hong, Han	洪瀚
Hong, Zhaohui	洪朝晖
Honig, Emily	韩启澜
Hood, Johanna	周安娜
Hoosain, Rumjahn	李永贤
Horng, Wann-Sheng	洪万生
Hou, Chi-ming	侯继明
Hou, Hanru	侯翰如
Howard, Angela	何恩之
Howson, Nicholas C.	郝山
 
Hsia, Chih-tsing	夏志清
Hsia, Ronnie Po-chia	夏伯嘉
Hsia, Tao-tai	夏道泰
Hsiao, Chi-ching	萧启庆
Hsiao, Gene T.	肖净
Hsiao, Kung-chuan	萧公权
Hsieh, Anderw	谢正光
Hsieh, Chang-tai	谢长泰
Hsieh, Chiao-min	谢觉民
Hsieh, Daniel	谢立义
Hsieh, John Fuh-sheng	谢复生
Hsiung, Anne	熊安妮（音译）
Hsiung, Hsien-kuan Ann-Marie	熊贤关
Hsiung, Yuwen	熊玉雯
Hsu, Cho-yun	许倬云
Hsu, Francis L.K.	许烺光
Hsu, Kai-yu	许芥昱
Hsu, Immanuel C. Y.	徐中约
Hsu, Jia-Ling	胥嘉陵
Hsu, Madeline Y.	徐元音
Hsu, Pi-ching	徐碧卿
Hu, Bangbo	胡邦波
Hu, John Y. H.	胡耀恒
Hu, Robert	胡海滨
Hu, Xiaobo	胡晓波
Hu, Xuehua Sherwood	胡雪桦
Hu, Ying	胡缨
 
Hua, Li	华立
Hua, Wei	华玮
Huang, Alexander C.Y.	黄承元
Huang, C. Julia	黄倩玉
Huang, James C.T.	黄正德
Huang, Jing	黄靖
