,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,count
1399,Frederick G. L. Huetwell,Huetwell,Frederick G. L.,謝宇,谢宇,謝宇,,,Huetwell, Frederick G. L.,1
3499,Yu Xie,Xie,Yu,謝宇,谢宇,謝宇,,,Xie, Yu,2
4016,Anderw Hsieh,Hsieh,Anderw,谢正光,谢正光,謝正光,,,Hsieh, Anderw,1
1326,Andrew Hsieh,Hsieh,Andrew,謝正光,谢正光,謝正光,,,Hsieh, Andrew,1
2810,Susan L. Shirk,Shirk,Susan L.,謝淑麗,谢淑丽,謝淑麗,,,Shirk, Susan L.,1
4289,Susan Shirk,Shirk,Susan,谢淑丽,谢淑丽,謝淑麗,,,Shirk, Susan,1
4327,Kwok-Kan Tam,Tam,Kwok-Kan,谭国根,谭国根,譚國根,,,Tam, Kwok-Kan,1
3001,Kwok-kan Tam,Tam,Kwok-kan,譚國根,谭国根,譚國根,,,Tam, Kwok-kan,1
3745,Timothy D. Baker,Baker,Timothy D.,贝克定,贝克定,貝克定,,,Baker, Timothy D.,1
89,Timothy Baker,Baker,Timothy,貝克定,贝克定,貝克定,,,Baker, Timothy,1
3751,James A. Benn,Benn,James A.,贝剑铭,贝剑铭,貝劍銘,,,Benn, James A.,1
145,James Benn,Benn,James,貝劍銘,贝剑铭,貝劍銘,,,Benn, James,1
2476,Steven Phillips,Phillips,Steven,費世文,费世文,費世文,,,Phillips, Steven,1
4218,Steven Phlllips,Phlllips,Steven,费世文,费世文,費世文,,,Phlllips, Steven,1
994,Charlotte Furth,Furth,Charlotte,費俠莉,费侠莉,費俠莉,,,Furth,Charlotte,1
3945,Charlotte Furth,Furth,Charlotte,费侠莉,费侠莉,費俠莉,,,Furth, Charlotte,1
3926,James V. Feinerman,Feinerman,James V.,费能文,费能文,費能文,,,Feinerman, James V.,1
902,James V. Feinerman,Feinerman,James V.,費能文,费能文,費能文,,,Feinerman,James V.,1
3949,Daniel Gardner,Gardner,Daniel,贾德讷,贾德讷,賈德訥,,,Gardner, Daniel,1
1014,Daniel K. Gardner,Gardner,Daniel K.,賈德訥,贾德讷,賈德訥,,,Gardner, Daniel K.,1
322,John Chaffee,Chaffee,John,賈志揚,贾志扬,賈志揚,,,Chaffee, John,1
3792,John W. Chaffee,Chaffee,John W.,贾志扬,贾志扬,賈志揚,,,Chaffee, John W.,1
2561,Edwin Oldfather Reischauer,Reischauer,Edwin Oldfather,賴世和,赖世和,賴世和,,,Reischauer, Edwin Oldfather,1
4236,Edwin O. Reischauer,Reischauer,Edwin O.,赖世和,赖世和,賴世和,,,Reischauer, Edwin O.,1
4415,David C. Wright,Wright,David C.,赖大卫,赖大卫,賴大衛,,,Wright, David C.,1
3451,David Curtis Wright,Wright,David Curtis,賴大衛,赖大卫,賴大衛,,,Wright, David Curtis,1
393,Rulan Chao,Chao,Rulan,趙如蘭,赵如兰,趙如蘭,Rulan Chao Pian,,Chao, Rulan,2
2478,Rulan Chao Pian,Pian,Rulan Chao,趙如蘭,赵如兰,趙如蘭,, 卞趙如蘭,Pian, Rulan Chao,2
3889,Kirk Denton,Denton,Kirk,邓腾克,邓腾克,鄧騰克,,,Denton, Kirk,1
737,Kirk Alexander Denton,Denton,Kirk Alexander,鄧騰克,邓腾克,鄧騰克,,,Denton, Kirk Alexander,1
3962,Andrea Goldman,Goldman,Andrea,郭安瑞,郭安瑞,郭安瑞,,,Goldman, Andrea,1
1064,Andrea Goldman,Goldman,Andrea,郭安瑞,郭安瑞,郭安瑞,,,Goldman,Andrea,1
3960,Asaf Goldschmidt,Goldschmidt,Asaf,郭志松,郭志松,郭志松,,,Goldschmidt, Asaf,1
1065,Asaf Goldschmidt,Goldschmidt,Asaf,郭志松,郭志松,郭志松,,,Goldschmidt,Asaf,1
1687,Chunghao Kuo,Kuo,Chunghao,郭忠豪,郭忠豪,郭忠豪,,,Kuo, Chunghao,1
1690,Pio Kuo,Kuo,Pio,郭忠豪,郭忠豪,郭忠豪,,,Kuo, Pio,1
196,Olga Blinova,Blinova,Olga,郭靜云,郭静云,郭靜雲,,,Blinova, Olga,1
1082,Olga Gorodetskaya,Gorodetskaya,Olga,郭靜云,郭静云,郭靜雲,,,Gorodetskaya, Olga,1
2544,Olga Rapoport,Rapoport,Olga,郭靜云,郭静云,郭靜雲,,,Rapoport, Olga,1
1082,Olga Gorodetskaya,Gorodetskaya,Olga,郭靜云,郭静云,郭靜雲,,,Gorodetskaya, Olga,1
3900,Maria Edin,Edin,Maria,金山爱,金山爱,金山愛,,,Edin, Maria,1
823,Maria Edin,Edin,Maria,金山愛,金山爱,金山愛,,,Edin,Maria,1
3892,June T. Dreyer,Dreyer,June T.,金德芳,金德芳,金德芳,,,Dreyer, June T.,1
785,June Teufel Dreyer,Dreyer,June Teufel,金德芳,金德芳,金德芳,,,Dreyer, June Teufel,1
1589,Ambrose Y.C. King,King,Ambrose Y.C.,金耀基,金耀基,金耀基,,,King, Ambrose Y.C.,1
4063,Ambrose Y.C King,King,Ambrose Y.C,金耀基,金耀基,金耀基,,,King, Ambrose Y.C,1
1066,Avery Goldstein,Goldstein,Avery,金駿遠,金骏远,金駿遠,,,Goldstein,Avery,1
3963,Avery Goldstein,Goldstein,Avery,金骏远,金骏远,金駿遠,,,Goldstein, Avery,1
4052,William C. Jones,Jones,William C.,钟威廉,钟威廉,鍾威廉,,琼斯,Jones, William C.,1
1503,William C. Jones,Jones,William C.,鐘威廉,钟威廉,鐘威廉,, 瓊斯,Jones, William C.,1
2905,Nicolas Standaert,Standaert,Nicolas,鍾鳴旦,钟鸣旦,鍾鳴旦,,,Standaert, Nicolas,1
4307,Nicolas Standaert,Standaert,Nicolas,钟鸣旦,钟鸣旦,鐘鳴旦,,,Standaert, Nicolas,1
3124,Tsuen-Hsuin Tsien,Tsien,Tsuen-Hsuin,錢存訓,钱存训,錢存訓,,,Tsien, Tsuen-Hsuin,1
4227,Cunxun Qian,Qian,Cunxun,钱存训,钱存训,錢存訓,,,Qian, Cunxun,1
4227,Cunxun Qian,Qian,Cunxun,钱存训,钱存训,錢存訓,,,Qian, Cunxun,1
4351,Tsuen-hsuin Tsien,Tsien,Tsuen-hsuin,钱存训,钱存训,錢存訓,,,Tsien, Tsuen-hsuin,1
