Caboara， Marco,柏恪義
Cadonna， Alfredo,卡鐸納
Cady， Lyman V.,夔德義
Cahill， James,高居翰
Cahill， Suzanne E.,柯素芝
Cai， Jiehua,蔡潔華
Cai， Liang,蔡亮
Cai， Zongqi,蔡宗齊
Caldwell， Perry Ernest， IV.,康佩理
Cambi-Rayer， Bernadette,何文怡
Campany， Robert Ford,康若柏
Campbell， Aurelia,金田
Campbell， Cameron,康文林
Campo， Daniela,田水晶
Cams， Mario,康言
Camus， Rina Marie,甘海寧
Camus， Yves,趙儀文
Canfil， Justin,柯義山
Cao， Jian,曹堅
Cao， Liqun,曹立群
Cao， Nanlai,曹南來
Cao， Qing,曹青
Cao， Xinyu,曹新宇
Cao， Yang,曹洋
Cappelletti， Alessandra,李麗莎
Carlitz， Katherine,柯麗德
Carlson， Allen,寇艾倫
Carnoguska， Marina,黑山
Caron， Emmanuel,高龍
Carroll， Peter J.,柯必德
Carruthers， Catherine,杜可歆
Carter， James,柯杰詣
Casalin， Federica,費琳
Castelazzi， Valentino,康華倫
Cedzich， Ursula-Angelika,蔡霧溪
Celli， Nicoletta,車霓珂
Ceresa， Marco,馬克
Černá， Zlata,烏金
Cha， Louis Leung Yeung,查良鏞
Chabaille， Fleur,王鈺花
Chaffee， John,賈志揚
Chaffin， Cortney E.,柴寧
Chai， Chin Fern Elena Gregoria,蔡靜芬
Chaisatit， Nuchnudee,陳玥
Chalfant， Frank Herring,方法斂
Chalmers， John,湛約翰
Chan， Alan K. L.,陳金樑
Chan， Albert,陳綸緒
Chan， Albert S.C.,陳新滋
Chan， Alfred L.,陳仲禮
Chan， Anita,陳佩華
Chan， Charles Wing-hoi,陳榮開
Chan， Cheris Shun-ching,陳純菁
Chan， Gerald,陳智宏
Chan， Hok-lam,陳學霖
Chan， Kin Shing,陳健成
Chan， Marjorie K. M.,陳潔雯
Chan， Pui Lun,陳沛倫
Chan， Sau Yan,陳守仁
Chan， Shirley,陳慧
Chan， Shun Hing,陳慎慶
Chan， Tim Wai-Keung,陳偉強
Chan， Wing-Cheuk,陳榮灼
Chan， Wing-tsit,陳榮捷
Chan， Ying-kit,陳英傑
Chan， Yuk-wah,陳玉華
Chandler， Stuart,錢思渡
Chandra， Yanto,蔡振榮
Chang， Bi-Yu,張必瑜
Chang， Cheng David,常成
Chang， Chia-Feng,張嘉鳳
Chang， Carsun /~ Chün-mai,張君勱
Chang， Che-chia,張哲嘉
Chang， Cheng David,常成
Chang， Chia-Feng,張嘉鳳
Chang， Chun-shu,張春樹
Chang， Chung Ho,張充和
Chang， Chung-i,張重一
Chang， Chung-li,張仲禮
Chang， Chung-Yuan,張鍾元
Chang， Eric C.C.,張嘉哲
Chang，Fu-jui,張復蕊
Chang， Garma Chen-chi,張澄基
Chang， Golden,章家敦
Chang， Hao,張灝
Chang， Hsin-pao,張馨保
Chang， Hsing-lang,張星烺
Chang， Hsun,張珣
Chang， Hui-Ching,張惠晶
Chang， Hung-nien,張洪年
Chang， Jui-shan,張瑞珊
Chang， Julian,張伯賡
Chang， Kang-i Sun,孫康宜
Chang， Kia-ngau,張嘉璈
Chang， Kuei-sheng,張桂生
Chang， Kwang-chih,張光直
Chang， Lung-chih,張隆志
Chang， Michael G.,張勉治
Chang， Parris H.,張旭成
Chang， Peng Chun,張彭春
Chang， Shelley Hsueh-lun,駱雪倫
Chang， Sheng-ching,張省卿
Chang， Shu Yuan Hsieh,張謝淑媛
Chang， Teh-kuang,張德光
Chang， Tsong-zung,張頌仁
Chang， Tung-lung Steven,張東隆
Chang， Yun Fah,張運華
Chao， Chia-ying Yeh,趙葉嘉瑩
Chao， Emily,趙省華
Chao， Glenda Ellen,趙家華
Chao， Kang,趙康
Chao， Kuo-chun,趙國鈞
Chao， Paul K. I.,趙光義
Chao， Rulan / Rulan Chao Pian,趙如蘭
Chao， Shin-yi,趙昕毅
Chao， Wei-pang,趙衛邦
Chao， Yuan-ling,趙元玲
Chao， Yuen Ren,趙元任
Chappell， Hilary,曹茜蕾
Chappell， Jonathan,金山森
Chapuis， Roger,郁白
Charbonnier， Jean Pierre,沙百里
Charleux， Isabelle,沙怡然
Chattaraj， Saheli,沙海麗
Chau， Adam Yuet,周越
Chau， Edward,周景勳
Chaussende， Damien,喬森德
Chavannes， Edouard,沙畹
Chaves， Jonathan,齊皎瀚
Che， Philippe,車益國
Cheang， Alice,鄭文君
Cheek， Timothy,齊慕實
Chemla， Karine,林力娜
Chen， Alexandre Tsung-ming,陳聰銘
Chen， Calvin,陳鵬
Chen， Charles K. H.,陳澄之 / 陳廣湘
Chen， Chi-yun,陳啟雲
Ch’en， Chieh-hsien,陳捷先
Chen， Chih-En,陳之恩
Chen， Chih-jou Jay,陳志柔
Chen， Chung-an,陳重安
Chen， David Y.,陳穎
Chen， Dean,陳鼎
Chen， Don-yun,陳敦源
Chen， Fan Pen Li,李凡平
Chen， Fong-ching,陳方正
Chen， Frederick Shih-Chung,陳世崇
Chen， Fu-yen,陳富彥
Ch’en， H.-S.,陳鴻舜
Chen， Hsi-yuan,陳熙遠
Ch’en， Hsiang-ch’un,陳祥春
Chen， Hsiu-fen,陳秀芬
Chen， Hsuan-Chih,陳烜之
Chen， Huaiyu,陳懷宇
Chen， Jack W.,陳威
Ch'en， Jerome,陳志讓
Chen， Jian,陳兼
Chen， Jian,陳健
Chen， Jianhua,陳建華
Chen， Jidong,陳繼東
Chen， Jie,陳傑
Chen， Jing,陳婧
Chen， Jinhua,陳金華
Chen， Jo-shui,陳弱水
Chen， Joseph Tao,陳真道
Chen， Juan,陳涓
Chen， Jue,陳玨
Chen， Kaijun,陳愷俊
Chen， Kenneth K. S.,陳觀勝
Chen， King C.,陳慶
Chen， Kuang-Hui,陳光輝
Chen， Li-fen,陳麗芬
Chen， Matthew Y.,陳淵泉
Chen， Ming-Jer,陳明哲
Chen， Na,陳納
Chen， Nai-ruenn,陳迺潤
Chen， Ning,陳寧
Chen， Patricia,陳嘉敏
Chen， Ping,陳平
Chen， Pochan,陳伯楨
Chen， Rou-Lan,陳若蘭
Chen， Ruey-shan Sandy,陳瑞山
Chen， Shih-Chuan,程石泉
Chen， Shih-hsiang,陳世驤
Chen， Shih-Hui,陳士惠
Chen， Shih-pei,陳詩沛
Chen， Shou Yi,陳綬頤
Chen， Shu-fen,陳淑芬
Chen， Shu-Heng,陳樹衡
Chen， Su,陳肅
Chen， Theodore H. E.,陳錫恩
Ch’en， Ting-min,陳定民
Ch’en， Tsung-hsiang,陳宗祥
Chen， William Ching-Chi,陳靖奇
Chen， Xi,陳晰
Chen， Xiaomei,陳小眉
Chen， Yen-Hui,陳延輝
Chen， Yiu Por (Vincent),陳耀波
Chen， Yong,陳勇
Chen， Yu-Hui,陳幼慧
Ch’en， Yüan,陳垣
Chen， Zhi,陳致
Cheng， Anne,程艾藍
Cheng， Chin-chuan,鄭錦全
Cheng， Chu-yuan,鄭竹園
Cheng， Chung-ying,成中英
Cheng， Dean,成斌
Cheng， Dennis C.H.,鄭吉雄
Cheng， François,程抱一
Cheng， Hong,程洪
Cheng， Hsiao-wen,程曉文
Cheng， James K.,鄭炯文
Cheng， Jason,程文浩
Cheng， Jim,程健
Cheng， John,鄭維亮
Cheng， Kai-Yuan,鄭凱元
Cheng， Lisa,鄭乃姍
Cheng， Pei-kai,鄭培凱
Cheng， Peter P. C.,陳炳杞
Cheng， Siu-kei,鄭肇祺
Cheng， Tao,鄭濤
Cheng， Te-k’un,鄭德坤
Cheng， Tiejun,程鐵軍
Cheng， Weikun,鄭惟君
Cheng， Wen Yin,程文尹
Cheng， William,鄭義為
Cheng， Yen-wen,鄭硯文
Cheng， Yu-yin,程玉茵
Chenivesse， Sandrine,桑德琳
Chennault， Cynthia L.,陳美麗
Cheu， Hock Tong,周褔堂
Cheung， Chan-fai,張燦輝
Cheung， Desmond,張海浩
Cheung， Joys H. Y.,張海欣
Cheung， Neky,張德貞
Cheung， Ping-Cheung,張炳祥
Cheung， Sidney C. H.,張展鴻
Cheung， Siu-woo,張兆和
Cheung， Suk-Hong,張淑香
Cheung， Tai Ming,張大銘
Chevaleyre， Claude,施振高
Chew， Daniel,周丹尼
Chi， Eunju,池恩周
Chi， Robert,紀一新
Chi， Wan-hsian,齊婉先
Chi， Wei-hsian,齊偉先
Chi， Wen-shun,紀文勛
Chi， Zhen,池楨
Chia， Caroline,謝汶亨
Chia， Lucille,賈晉珠
Chia， Jack Meng-Tat,謝明達
Chia， Ning,賈寧
Chia， Yeow Tong,謝耀東
Ch’ian， I-hung,強一宏
Chiang， Chih-yun,江芷澐
Chiang， Gonca Ünal,宮札
