David Schaberg,Schaberg,,David,史嘉柏,,,,,,
Helwig Schmidt-Glintz,Schmidt-Glintz,,Helwig,施寒微,,,1948,,德国,
Axel Schuessler,Schuessler,,Axel,许思莱,,,1940,,,ABC Etymological Dictionary of Old Chinese；
Benjamin I. Schwartz,Schwartz,I.,Benjamin,史华兹,3,,,,,
Thomas Selover,Selover,,Thomas,塞洛弗,,,,,,
David Sena,Sena,,David,孙大为,,,,,,
Edward L. Shaughnessy,Shaughnessy,L.,Edward,夏含夷,,,1952,,美国,
Iulian K. Shchutskii,Shchutskii,K.,Iulian,朱丽安,,,1897,1938,俄罗斯,
Vincent Shen,Shen,,Vincent,沈清松,,,,,,
Kwong-loi Shun,Shun,,Kwong-loi,信广来,2,,1953,,华裔,
Edward Slingerland,Slingerland,,Edward,森舸澜,2,,,,,
Kidder Smith,Smith,,Kidder,苏德恺,,,1944,,,中国先秦史。
Debora Sommer,Sommer,,Debora,司马黛兰,,,,,,
Jonathan D. Spence,Spence,D.,Jonathan,史景迁,,,,,,
Gladys Margaret Tayler,Tayler,,,戴乃迭,,,,,,
Hoyt Tillman,Tillman,,Hoyt,田浩,,,1944,,,
Nicolas Trigault,Trigault,,Nicolas,金尼阁,,,,,,传教士。
Shing-ngat,Tse,,Shing-ngat,谢承屹,,,,,,
Tsuen-Hsuin Tsien,Tsien,,Tsuen-Hsuin,钱存训,,,1910,2015,美籍华裔,
Wei-ming Tu,Tu,,Wei-ming,杜维明,,,1940,,美国华裔,
Ching-I Tu,Tu,,Ching-I,涂经诒,,,1935,,美国华裔,
Mary E. Tucker,Tucker,E.,Mary,n/a,,,,,,
Ulrich Unger,Unger,,Ulrich,翁有理,,,,,,
Newell Ann van Auken,van Auken,,Newell Ann,方妮安,,,,,,
Hans van Ess,van Ess,,Hans,叶翰,2,,1962,,德国,
Robert Hans van Gulik,van Gulik,,,高罗佩,,,1910,1967,荷兰,《大唐狄公案》
Bryan W. van Norden,van Norden,W.,Bryan,万百安,2,,,,,
Leon Vandermeersch,Vandermeersch,,Leon,汪德迈,,,,,,
Lothar von Falkenhausen,von Falkenhausen,,,罗泰,2,,,,,
Leopold von Ranke,von Ranke,,Leopold,n/a,,,,,,
"Frederic Wakeman, Jr.",Wakeman,,Frederic,魏斐德,,,,,,
Arthur Waley,Waley,,Arthur,n/a,,,,,,
Burton Watson,Watson,,Burton,华兹生,2,,,,,
Howard J. Wechsler,Wechsler,J.,Howard,侯德玮,,,,,,
Oliver Weingarten,Weingarten,,Oliver,韦礼文,,,,,,
Helmut Wilhelm,Wilhelm,,Helmut,卫德明,,,1905,1990,德国,传教士
Endymion Wilkinson,Wilkinson,,Endymion,魏根深,,,1941,,英国,
Crispin Williams,Williams,,Crispin,魏克彬,,,,,美国,
Thomas A. Wilson,Wilson,A.,Thomas,魏伟森,,,,,美国,
David B. Wong,Wong,B.,David,黄百锐,2,,,,,
Arthur Frederick Wright,Wright,,Arthur Frederick,芮沃寿,,,1913,1976,,
Fu-sheng Wu,Wu,,Fu-sheng,吴伏生,,,,,美国华裔,
Xinzhong Yao,Yao,,Xinzhong,姚新中,,,1957,,英国华裔,
Jiyuan Yu,Yu,,Jiyuan,余纪元,,,1964,2016,美籍华裔,
