,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数,异文
1718,Toby Lincoln,Lincoln,Toby,林濤,林涛,林濤,0,0,Lincoln, Toby,0,0,0,0,10,
1717,John A. Lindblom,Lindblom,John A.,林仰嵩,林仰嵩,林仰嵩,0,0,Lindblom, John A.,0,0,0,0,10,
1716,Birgit Linder,Linder,Birgit,彭吉蒂,彭吉蒂,彭吉蒂,0,0,Linder, Birgit,0,0,0,0,10,
1715,Michael Francis Morris Lindsay,Lindsay,Michael Francis Morris,林邁可,林迈可,林邁可,0,0,Lindsay, Michael Francis Morris,0,0,0,0,10,
1714,Katheryn Linduff,Linduff,Katheryn,林嘉琳,林嘉琳,林嘉琳,0,0,Linduff, Katheryn,0,0,0,0,20,
1711,Teck Soon Ling,Ling,Teck Soon,林德順,林德顺,林德順,0,0,Ling, Teck Soon,0,0,0,0,10,
1713,Xiaoqiao Ling,Ling,Xiaoqiao,淩筱嶠,凌筱峤,淩筱嶠,0,0,Ling, Xiaoqiao,0,0,0,0,10,
1712,Vivian Ling,Ling,Vivian,淩志韞,凌志韫,淩志韞,0,0,Ling, Vivian,0,0,0,0,10,
1710,Huping Ling,Ling,Huping,令狐萍,令狐萍,令狐萍,0,0,Ling, Huping,0,0,0,0,10,
1709,Kate Lingley,Lingley,Kate,龍梅若,龙梅若,龍梅若,0,0,Lingley, Kate,0,0,0,0,10,
1708,Wei Yun Lin-Gorecká,Lin-Gorecká,Wei Yun,林蔚昀,林蔚昀,林蔚昀,0,0,Lin-Gorecka, Wei Yun,0,0,0,0,10,
3680,E. Perry Link,Link,E. Perry,林培瑞,林培瑞,林培瑞,0,0,Link, E. Perry,0,0,0,0,10,Perry Link
1707,To-Hai Liou,Liou,To-Hai,劉德海,刘德海,劉德海,0,0,Liou, To-Hai,0,0,0,0,10,
1706,Astrid Lipinsky,Lipinsky,Astrid,李雅瑞,李雅瑞,李雅瑞,0,0,Lipinsky, Astrid,0,0,0,0,10,
1705,Tiziana Lippiello,Lippiello,Tiziana,李蒂,李蒂,李蒂,0,李集雅,Lippiello, Tiziana,0,0,0,0,10,
1704,Vladimír Liščák,Liščák,Vladimír,李世佳,李世佳,李世佳,0,0,Liscak, Vladimir,0,0,0,0,10,
1703,Daniel Little,Little,Daniel,李丹,李丹,李丹,0,0,Little, Daniel,0,0,0,0,10,
1702,Ronnie Littlejohn,Littlejohn,Ronnie,张仁宁,张仁宁,張仁寧,0,0,Littlejohn, Ronnie,0,0,0,0,10,
1701,Leif Littrup,Littrup,Leif,李來福,李来福,李來福,0,0,Littrup, Leif,0,0,0,0,10,
1700,Ralph A. Litzinger,Litzinger,Ralph A.,李瑞福,李瑞福,李瑞福,0,0,Litzinger, Ralph A.,0,0,0,0,20,
1682,Tik-sang Liu,Liu,Tik-sang,廖迪生,廖迪生,廖迪生,0,0,Liu, Tik-sang,0,0,0,0,10,
1668,Marjory Bong-Ray Liu,Liu,Marjory Bong-Ray,刘邦瑞,刘邦瑞,劉邦瑞,0,0,Liu, Marjory Bong-Ray,0,0,0,0,20,
1685,Tsang-Long Liu,Liu,Tsang-Long,劉滄龍,刘沧龙,劉滄龍,0,0,Liu, Tsang-Long,0,0,0,0,10,
1640,C.S. Luther Liu,Liu,C.S. Luther,刘辰生,刘辰生,劉辰生,0,0,Liu, C.S. Luther,0,0,0,0,20,
1686,Tsung-wei Liu,Liu,Tsung-wei,劉從葦,刘从苇,劉從葦,0,0,Liu, Tsung-wei,0,0,0,0,10,
1683,Ts’ui-jung Liu,Liu,Ts’ui-jung,劉翠溶,刘翠溶,劉翠溶,0,0,Liu, Ts’ui-jung,0,0,0,0,10,
1680,Ta-chung Liu,Liu,Ta-chung,刘大中,刘大中,劉大中,0,0,Liu, Ta-chung,0,0,0,0,20,
1646,Feng-Hsi Liu,Liu,Feng-Hsi,刘凤樨,刘凤樨,劉鳳樨,0,0,Liu, Feng-Hsi,0,0,0,0,20,
1647,Fu-Kuo Liu,Liu,Fu-Kuo,劉複國,刘复国,劉複國,0,0,Liu, Fu-Kuo,0,0,0,0,10,
1661,Kuan-Hsien Liu,Liu,Kuan-Hsien,劉冠賢,刘冠贤,劉冠賢,0,0,Liu, Kuan-Hsien,0,0,0,0,10,
1689,William Guanglin Liu,Liu,William Guanglin,劉光臨,刘光临,劉光臨,0,0,Liu, William Guanglin,0,0,0,0,10,
3677,Kwang-Ching Liu,Liu,Kwang-Ching,刘广京,刘广京,劉廣京,0,0,Liu, Kwang-Ching,0,0,0,0,10,Kwang-ching Liu
1648,Guoli Liu,Liu,Guoli,刘国立,刘国立,劉國立,0,0,Liu, Guoli,0,0,0,0,20,
1669,Michael Guoqing Liu,Liu,Michael Guoqing,劉國慶,刘国庆,劉國慶,0,0,Liu, Michael Guoqing,0,0,0,0,10,
1650,Hanzhang Liu,Liu,Hanzhang,劉含章,刘含章,劉含章,0,0,Liu, Hanzhang,0,0,0,0,10,
1651,Haoming Liu,Liu,Haoming,劉皓明,刘皓明,劉皓明,0,0,Liu, Haoming,0,0,0,0,10,
1667,Lydia Liu,Liu,Lydia,刘禾,刘禾,劉禾,0,0,Liu, Lydia,0,0,0,0,20,
1652,Heping Liu,Liu,Heping,刘和平,刘和平,劉和平,0,0,Liu, Heping,0,0,0,0,10,
1644,Chun-Jo Liu,Liu,Chun-Jo,刘君若,刘君若,劉君若,0,0,Liu, Chun-Jo,0,0,0,0,20,
1662,Lening Liu,Liu,Lening,刘乐宁,刘乐宁,劉樂寧,0,0,Liu, Lening,0,0,0,0,20,
1665,Liyan Liu,Liu,Liyan,刘力妍,刘力妍,劉力妍,0,0,Liu, Liyan,0,0,0,0,10,
1666,Lizhi Liu,Liu,Lizhi,劉立之,刘立之,劉立之,0,0,Liu, Lizhi,0,0,0,0,10,
1659,Joan Liu,Liu,Joan,刘丽君,刘丽君,劉麗君,0,0,Liu, Joan,0,0,0,0,20,
1663,Li Liu,Liu,Li,刘莉,刘莉,劉莉,0,0,Liu, Li,0,0,0,0,20,
1664,Liangni Sally Liu,Liu,Liangni Sally,劉良妮,刘良妮,劉良妮,0,0,Liu, Liangni Sally,0,0,0,0,10,
1645,Elaine M. Liu,Liu,Elaine M.,劉美辰,刘美辰,劉美辰,0,0,Liu, Elaine M.,0,0,0,0,10,
1672,Peng Liu,Liu,Peng,劉鵬,刘鹏,劉鵬,0,0,Liu, Peng,0,0,0,0,10,
1671,Peng Liu,Liu,Peng,劉澎,刘澎,劉澎,0,0,Liu, Peng,0,0,0,0,10,
1660,Johanna Liu,Liu,Johanna,劉千美,刘千美,劉千美,0,0,Liu, Johanna,0,0,0,0,10,
1642,Chiao-mei Liu,Liu,Chiao-mei,劉巧楣,刘巧楣,劉巧楣,0,0,Liu, Chiao-mei,0,0,0,0,10,
1674,Qingping Liu,Liu,Qingping,劉清平,刘清平,劉清平,0,0,Liu, Qingping,0,0,0,0,10,
1654,James C. Liu,Liu,James C.,刘淸景,刘淸景,劉淸景,0,0,Liu, James C.,0,0,0,0,20,
1643,Chiung-yun Evelyn Liu,Liu,Chiung-yun Evelyn,劉瓊雲,刘琼云,劉瓊雲,0,0,Liu, Chiung-yun Evelyn,0,0,0,0,10,
1658,Jen-Peng Liu,Liu,Jen-Peng,劉人鵬,刘人鹏,劉人鵬,0,0,Liu, Jen-Peng,0,0,0,0,10,
1688,William Liu,Liu,William,刘融,刘融,劉融,0,0,Liu, William,0,0,0,0,10,
1655,James J.Y. Liu,Liu,James J.Y.,刘若愚,刘若愚,劉若愚,0,0,Liu, James J.Y.,0,0,0,0,20,
1649,Guy Liu,Liu,Guy,刘芍佳,刘芍佳,劉芍佳,0,0,Liu, Guy,0,0,0,0,10,
1676,Shao-hua Liu,Liu,Shao-hua,劉紹華,刘绍华,劉紹華,0,0,Liu, Shao-hua,0,0,0,0,10,
1670,Michael Shiyung Liu,Liu,Michael Shiyung,劉士永,刘士永,劉士永,0,0,Liu, Michael Shiyung,0,0,0,0,10,
1678,Shufen Liu,Liu,Shufen,刘淑芬,刘淑芬,劉淑芬,0,0,Liu, Shufen,0,0,0,0,20,
